x,y
570516.7800,7035427.6100
570516.5700,7035427.1100
570516.2700,7035426.4400
570515.9900,7035425.8000
570515.7000,7035425.1000
570515.3100,7035424.2000
570515.0900,7035423.6900
570514.6700,7035422.6700
570514.4200,7035422.0700
570514.1000,7035421.3300
570513.8700,7035420.7800
570513.6200,7035420.2000
570513.2900,7035419.3600
570513.0300,7035418.7400
570512.6500,7035417.8300
570512.3100,7035417.0200
570512.0100,7035416.2500
570511.6700,7035415.4200
570511.3100,7035414.5600
570510.9500,7035413.6800
570510.5900,7035412.8100
570510.2300,7035411.8400
570509.8500,7035410.9200
570509.4700,7035409.9900
570509.0900,7035409.0600
570508.7200,7035408.1400
570508.3100,7035407.0900
570507.9300,7035406.1600
570507.5400,7035405.2100
570507.1500,7035404.2700
570506.7700,7035403.3300
570506.3800,7035402.3100
570506.0000,7035401.3700
570505.6200,7035400.4200
570505.2500,7035399.4800
570504.8700,7035398.5400
570504.5000,7035397.5800
570504.1200,7035396.6200
570503.7400,7035395.6700
570503.3000,7035394.5500
570502.9200,7035393.6000
570502.5500,7035392.5900
570502.1700,7035391.6100
570501.8500,7035390.8100
570501.3900,7035389.6600
570501.0100,7035388.6900
570500.6300,7035387.7200
570500.2400,7035386.7500
570499.8500,7035385.7700
570499.4600,7035384.8100
570499.0700,7035383.8400
570498.6900,7035382.8800
570498.3000,7035381.9200
570497.9100,7035380.9600
570497.5200,7035380.0000
570497.1400,7035379.0500
570496.6700,7035377.8800
570496.2800,7035376.9100
570495.9600,7035376.1000
570495.4900,7035374.9700
570495.1000,7035373.9800
570494.7100,7035373.0100
570494.3200,7035372.0400
570493.9300,7035371.1000
570493.5500,7035370.1500
570493.1700,7035369.2100
570492.7500,7035368.1900
570492.3500,7035367.2200
570491.9500,7035366.2400
570491.4900,7035365.0900
570491.1600,7035364.2800
570490.7200,7035363.1900
570490.3300,7035362.2500
570489.9500,7035361.3000
570489.5600,7035360.3600
570489.1700,7035359.4200
570488.7900,7035358.4800
570488.4100,7035357.5300
570488.0200,7035356.5900
570487.6400,7035355.6400
570487.2500,7035354.7000
570486.8700,7035353.7700
570486.4900,7035352.8300
570486.1100,7035351.9100
570485.6700,7035350.8400
570485.3600,7035350.0800
570484.9200,7035349.0300
570484.5500,7035348.1200
570484.1900,7035347.2200
570483.8300,7035346.3200
570483.4800,7035345.4100
570483.1200,7035344.4400
570482.7800,7035343.5200
570482.4700,7035342.5800
570482.1700,7035341.6300
570481.8900,7035340.6700
570481.6700,7035339.8500
570481.4500,7035338.9200
570481.2700,7035337.9800
570481.1200,7035337.0300
570480.9900,7035336.0800
570480.8600,7035335.0200
570480.8000,7035334.0700
570480.7700,7035333.1300
570480.7800,7035332.1900
570480.8100,7035331.2500
570480.8700,7035330.2600
570480.9700,7035329.3300
570481.1000,7035328.4100
570481.2700,7035327.4800
570481.4700,7035326.5700
570481.6900,7035325.6700
570481.9500,7035324.7800
570482.2400,7035323.9100
